step,reward
0,-0.020610880106687546
1,0.0032222021836787462
2,-0.005867392756044865
3,0.010405348613858223
4,0.021692432463169098
5,2.5956960598705336e-06
6,0.0005720180342905223
7,0.0
8,-0.009194210171699524
9,-0.003972017206251621
10,-0.018043315038084984
11,-0.0002526278840377927
12,0.0036655631847679615
13,0.02103359065949917
14,-6.065660636522807e-05
15,-0.00044636274105869234
16,0.0009553059935569763
17,-0.013197236694395542
18,-0.0004373908741399646
19,-0.00012404962035361677
20,0.0026714028790593147
21,0.0009717193897813559
22,-0.02037729136645794
23,0.000445300160208717
24,1.3304106971645524e-07
25,-0.0003984285576734692
26,0.00010927327093668282
27,-4.688877197622787e-06
28,-0.0003369523910805583
29,0.006686713080853224
30,-0.01122691947966814
31,-1.1492346857266966e-05
32,0.017749829217791557
33,0.001492318813689053
34,0.0010635481448844075
35,0.008942428044974804
36,-0.0004607893934007734
37,-0.012408324517309666
38,0.00026398440240882337
39,-0.012913374230265617
40,0.003704310627654195
41,0.01101955957710743
42,-0.0004579240339808166
43,0.004163822159171104
44,-0.009239919483661652
45,0.008259076625108719
46,-0.02059321105480194
47,0.011191674508154392
48,-0.004350373987108469
49,0.005963586270809174
50,0.0023943178821355104
51,-0.005393343511968851
52,0.0016957492334768176
53,0.0005248665111139417
54,-0.015346347354352474
55,0.004012301564216614
56,-0.005253939423710108
57,-0.0035706614144146442
58,0.009051377885043621
59,0.0037963571958243847
60,0.018615063279867172
61,-0.01310439221560955
62,-0.012356774881482124
63,-0.005989331752061844
64,-0.0053574577905237675
65,0.005379118956625462
66,0.00018548608932178468
67,-0.008785117417573929
68,-0.005952664650976658
69,1.0359813131799456e-05
70,0.020133001729846
71,2.7564913125388557e-06
72,2.2511344468512107e-06
73,-0.0016865989891812205
74,-5.1454503591230605e-06
75,-0.0040487246587872505
76,-0.0056685819290578365
77,3.928000296582468e-06
78,0.0005805542459711432
79,0.0005849275621585548
80,-0.00045528047485277057
81,-0.00042874194332398474
82,0.006565070245414972
83,0.0017463788390159607
84,-0.0005670065293088555
85,-0.00045562503510154784
86,-0.01003916934132576
87,-0.0019513361621648073
88,-0.011615422554314137
89,-0.0014465408166870475
90,0.012655830010771751
91,0.018200470134615898
92,-0.02326706051826477
93,-0.016647132113575935
94,-1.180697108793538e-05
95,0.00020730812684632838
96,-0.0004356175195425749
97,-0.005093479994684458
98,-0.0004444153164513409
99,5.208898983255494e-06
100,0.013477587141096592
101,-0.00023428948770742863
102,-0.004943905398249626
103,0.003223375417292118
104,0.002084428910166025
105,-0.0004438786127138883
106,0.000556000682990998
107,-0.005345477722585201
108,-0.0010561090894043446
109,0.010105451568961143
110,-0.0013081800425425172
111,0.005427564959973097
112,0.004357010126113892
113,-0.010930078104138374
114,4.479298240767093e-06
115,-0.0024912734515964985
116,0.0017443154938519
117,-3.4386681363685057e-05
118,-0.007063143886625767
119,-0.0004551894962787628
120,-9.188304375129519e-07
121,-0.012522329576313496
122,-1.1862607607326936e-05
123,0.014016034081578255
124,-0.0006142205093055964
125,0.010493185371160507
126,-0.004861170891672373
127,-9.328532541985624e-06
