step,reward
0,0.0
1,-0.10420604795217514
2,0.0036945813335478306
3,0.003968254197388887
4,0.004273504484444857
5,0.004615384619683027
6,0.004999999888241291
7,0.005434782709926367
8,0.005928853526711464
9,0.006493506487458944
10,0.0071428571827709675
11,0.1648148149251938
12,0.008771929889917374
13,0.00974658876657486
14,0.006172839552164078
15,0.010893246158957481
16,0.01225490216165781
17,0.013888888992369175
18,0.01587301678955555
19,-0.0793650820851326
20,0.016483517363667488
21,0.01923076994717121
22,0.0
23,0.022727273404598236
24,0.1310763955116272
25,-0.08912627398967743
26,0.027272727340459824
27,0.0
28,-0.32806122303009033
29,-0.11479591578245163
30,0.0
31,0.051020409911870956
32,0.5244898200035095
33,0.03333333507180214
34,0.0
35,0.0416666679084301
36,0.0
37,0.0
38,0.0535714291036129
39,-0.704081654548645
40,0.0
41,-0.06575963646173477
42,0.5694444179534912
43,-0.5972222089767456
44,0.0833333358168602
45,-0.0833333358168602
46,0.0
47,0.28333333134651184
48,-0.10625000298023224
49,0.0
50,0.0
51,0.0
52,-0.34375
53,0.34375
54,0.0
55,0.0
56,-0.09375
57,0.0
58,0.0
59,-0.25
60,0.0
61,0.0
62,0.0
63,0.25
64,0.003448275849223137
65,0.0036945813335478306
66,0.10023809224367142
67,0.0
68,0.003791887080296874
69,-0.00565200624987483
70,0.0033333334140479565
71,0.003611111082136631
72,0.003925120923668146
73,0.00428194971755147
74,0.004689754918217659
75,0.0
76,0.0
77,0.1485615074634552
78,0.0055555556900799274
79,0.006140350829809904
80,-0.34936952590942383
81,0.0
82,0.1328125
83,0.0
84,0.0
85,-0.1328125
86,0.0
87,0.375
88,-0.0234375
89,0.00239158165641129
90,-0.12244898080825806
91,0.12244898080825806
92,0.0
93,0.10090702772140503
94,-0.2361111044883728
95,0.0
96,0.02777777798473835
97,0.0
98,-0.08277777582406998
99,-0.20888888835906982
100,0.3472222089767456
101,-0.25833332538604736
102,0.0
103,-0.14000000059604645
104,0.398333340883255
105,0.3194444477558136
106,-0.3194444477558136
107,0.0
108,-0.57833331823349
109,0.3199999928474426
110,0.0
111,0.0
112,-0.14000000059604645
113,0.03375000134110451
114,0.0
115,-0.34375
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.25
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
