step,reward
0,0.004358305595815182
1,-0.005129271186888218
2,0.0004752903478220105
3,0.005659935995936394
4,0.002083793981000781
5,-0.016571765765547752
6,0.024171777069568634
7,0.0004801571776624769
8,-0.011447787284851074
9,-7.074994300637627e-06
10,-0.00030068345949985087
11,0.014691400341689587
12,-0.006974185351282358
13,-0.002041878178715706
14,0.00635306304320693
15,0.0003521840553730726
16,0.0037943243514746428
17,-0.0067950161173939705
18,0.004722382873296738
19,2.219911402789876e-05
20,-0.0021693320013582706
21,-0.006905036512762308
22,0.005378726404160261
23,-0.021930431947112083
24,0.006224882323294878
25,0.00511715654283762
26,-0.0021255218889564276
27,-0.009508498013019562
28,0.0015718010254204273
29,0.018598506227135658
30,-0.004666839726269245
31,-0.0006011648802086711
32,-0.00039546811603941023
33,-0.0037978687323629856
34,-0.011508561670780182
35,-1.5317093129851855e-05
36,0.0013900873018428683
37,-0.00046615637256763875
38,-0.001973384292796254
39,-0.00043926425860263407
40,-1.536308991489932e-05
41,-0.0005048428429290652
42,0.002016840036958456
43,0.012369480915367603
44,-0.0050623370334506035
45,-0.01416842732578516
46,-0.00010880518675548956
47,-0.00040734384674578905
48,-1.3807557479594834e-05
49,1.4728060705238022e-05
50,0.002073872135952115
51,0.008730149827897549
52,-1.7454136468586512e-05
53,0.0008460317621938884
54,0.013486205600202084
55,-0.005189164076000452
56,0.004308124538511038
57,-0.0190932285040617
58,-0.012615199200809002
59,0.02227618172764778
60,-0.0005025876453146338
61,-0.000436019356129691
62,0.0043103997595608234
63,0.0021880834829062223
64,0.004672716837376356
65,0.00044783795601688325
66,0.006319491192698479
67,-0.000712449022103101
68,-0.005099712871015072
69,0.007182184606790543
70,-0.00033570380765013397
71,-0.002091288100928068
72,-0.006814648397266865
73,0.008921374566853046
74,-0.022218849509954453
75,0.0031239730305969715
76,-0.00014081021072342992
77,-0.0003945947391912341
78,7.28023806004785e-05
79,-0.0006498534348793328
80,-0.0005778367631137371
81,0.0005678475135937333
82,-0.0004837621236220002
83,0.02078651264309883
84,0.008905677124857903
85,-0.009280635975301266
86,-0.004492985550314188
87,0.00033818025258369744
88,0.008408275432884693
89,-0.003145642811432481
90,-0.003148531774058938
91,-0.004861330147832632
92,5.8145080402027816e-05
93,-0.0010469426633790135
94,4.6439025027211756e-05
95,0.012812242843210697
96,1.4802142686676234e-05
97,-0.015106210485100746
98,0.008749812841415405
99,-0.0051344288513064384
100,0.0003442678425926715
101,4.700131739809876e-06
102,0.005765626672655344
103,-8.458367119601462e-06
104,-8.550306120014284e-06
105,-0.007334512192755938
106,-0.0011314593721181154
107,0.008034774102270603
108,-0.008255047723650932
109,0.0
110,-0.0004343171021901071
111,0.0009801307460293174
112,-0.01852748915553093
113,-0.00040531507693231106
114,-0.002037663944065571
115,0.009350492618978024
116,-0.005468063987791538
117,-0.0016327688936144114
118,0.0007095381733961403
119,-0.0004553806793410331
120,0.021485237404704094
121,-0.007665532641112804
122,-0.000839964603073895
123,0.0023259096778929234
124,0.00040076588629744947
125,5.577587216976099e-05
126,-0.009578704833984375
127,-0.0014490156900137663
